id,defect_id,model,final_code,final_label,clf_code,source
1,CLIUtils___CLI11@020a21afc6,qwen3-coder,5,Template/overload deduction,9,audit
2,CLIUtils___CLI11@020a21afc6,qwen3-coder,3,Hallucinated/wrong API,3,audit
3,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
4,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
5,CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
6,CLIUtils___CLI11@dcbcb4721d,qwen3-coder,3,Hallucinated/wrong API,3,audit
7,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,7,Reference/value-category,7,audit
8,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,7,Reference/value-category,7,audit
9,fmtlib___fmt@0cc73ebf79,deepseek-chat,4,Missing include/type,4,audit
10,fmtlib___fmt@0cc73ebf79,deepseek-chat,4,Missing include/type,4,audit
11,fmtlib___fmt@0cc73ebf79,deepseek-chat,4,Missing include/type,4,audit
12,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,9,Malformed syntax,3,audit
13,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,4,Missing include/type,4,audit
14,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
15,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,10,Other,2,audit
16,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
17,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
18,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
19,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,3,Hallucinated/wrong API,3,fence->underlying
20,fmtlib___fmt@2b7a146fa1,deepseek-chat,3,Hallucinated/wrong API,3,audit
21,fmtlib___fmt@2b7a146fa1,gemini-2.5-flash,10,Other,5,audit
22,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,12,Test-harness/macro misuse,12,fence->underlying
23,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
24,fmtlib___fmt@6a13464059,gemini-2.5-flash,9,Malformed syntax,9,audit
25,fmtlib___fmt@6a13464059,gemini-2.5-flash,9,Malformed syntax,9,audit
26,fmtlib___fmt@6a13464059,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
27,fmtlib___fmt@6a13464059,qwen3-coder,2,static_assert/trait,2,audit
