defect_id,model,run,gpp,clang,clang_err
CLIUtils___CLI11@de215ef978,gemini-2.5-flash,1,False,False,"/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@de215ef978/gemini-2.5-flash/run1/test.cpp:10:13: error: no matching member function for call to"
CLIUtils___CLI11@de215ef978,gemini-2.5-flash,2,True,True,""
CLIUtils___CLI11@de215ef978,gemini-2.5-flash,3,False,False,"/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@de215ef978/gemini-2.5-flash/run3/test.cpp:10:13: error: no matching member function for call to"
CLIUtils___CLI11@de215ef978,qwen3-coder,1,True,True,""
CLIUtils___CLI11@de215ef978,qwen3-coder,2,True,True,""
CLIUtils___CLI11@de215ef978,qwen3-coder,3,True,True,""
CLIUtils___CLI11@de215ef978,deepseek-chat,1,True,True,""
CLIUtils___CLI11@de215ef978,deepseek-chat,2,True,True,""
CLIUtils___CLI11@de215ef978,deepseek-chat,3,True,True,""
CLIUtils___CLI11@de215ef978,gpt-5.4-or,1,True,True,""
CLIUtils___CLI11@de215ef978,gpt-5.4-or,2,True,True,""
CLIUtils___CLI11@de215ef978,gpt-5.4-or,3,True,True,""
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,1,True,True,""
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,2,True,True,""
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,3,True,True,""
CLIUtils___CLI11@020a21afc6,qwen3-coder,1,True,True,""
CLIUtils___CLI11@020a21afc6,qwen3-coder,2,False,False,"In file included from /home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/qwen3-coder/run2/test.cpp:2:"
CLIUtils___CLI11@020a21afc6,qwen3-coder,3,False,False,"In file included from /home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/qwen3-coder/run3/test.cpp:2:"
CLIUtils___CLI11@020a21afc6,deepseek-chat,1,True,True,""
CLIUtils___CLI11@020a21afc6,deepseek-chat,2,True,True,""
CLIUtils___CLI11@020a21afc6,deepseek-chat,3,True,True,""
CLIUtils___CLI11@020a21afc6,gpt-5.4-or,1,True,True,""
CLIUtils___CLI11@020a21afc6,gpt-5.4-or,2,True,True,""
CLIUtils___CLI11@020a21afc6,gpt-5.4-or,3,True,True,""
CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,1,False,False,"/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/gemini-2.5-flash/run1/test.cpp:98:10: error: no member named 'set_config_option_key'"
CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,2,True,True,""
CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,3,False,False,"/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/gemini-2.5-flash/run3/test.cpp:16:9: error: no member named 'parse_config' in 'CLI::"
CLIUtils___CLI11@dcbcb4721d,qwen3-coder,1,True,True,""
CLIUtils___CLI11@dcbcb4721d,qwen3-coder,2,False,False,"/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/qwen3-coder/run2/test.cpp:10:11: error: no member named 'set_flag_value' in 'CLI::Op"
