defect_id,model,project,test_path,coder1,coder2
fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run1/test.cpp,,
fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run3/test.cpp,,
fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run2/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run1/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run2/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run1/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run3/test.cpp,,
fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run2/test.cpp,,
fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run1/test.cpp,,
fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run3/test.cpp,,
fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run2/test.cpp,,
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run1/test.cpp,,
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run3/test.cpp,,
fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run1/test.cpp,,
