defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication,adjudication_reason
CLIUtils___CLI11@020a21afc6,deepseek-chat,2,not_reached,,,,,
CLIUtils___CLI11@020a21afc6,deepseek-chat,3,not_reached,,,,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,1,not_reached,,,,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,2,not_reached,,,,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,3,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,1,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,2,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,2,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,1,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,2,not_reached,,,,,
CLIUtils___CLI11@dcbcb4721d,qwen3-coder,1,not_reached,,,,,
CLIUtils___CLI11@de215ef978,deepseek-chat,1,not_reached,,,,,
CLIUtils___CLI11@de215ef978,deepseek-chat,2,not_reached,,,,,
CLIUtils___CLI11@de215ef978,deepseek-chat,3,not_reached,,,,,
CLIUtils___CLI11@de215ef978,gemini-2.5-flash,2,not_reached,,,,,
CLIUtils___CLI11@de215ef978,gpt-5.4-or,1,not_reached,,,,,
CLIUtils___CLI11@de215ef978,gpt-5.4-or,2,not_reached,,,,,
CLIUtils___CLI11@de215ef978,gpt-5.4-or,3,not_reached,,,,,
CLIUtils___CLI11@de215ef978,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@279d698e1b,deepseek-chat,1,not_reached,,,,,
fmtlib___fmt@279d698e1b,gemini-2.5-flash,1,not_reached,,,,,
fmtlib___fmt@279d698e1b,gemini-2.5-flash,2,not_reached,,,,,
fmtlib___fmt@279d698e1b,gemini-2.5-flash,3,not_reached,,,,,
fmtlib___fmt@279d698e1b,gpt-5.4-or,1,not_reached,,,,,
fmtlib___fmt@279d698e1b,gpt-5.4-or,2,not_reached,,,,,
fmtlib___fmt@279d698e1b,gpt-5.4-or,3,not_reached,,,,,
fmtlib___fmt@279d698e1b,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@279d698e1b,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,deepseek-chat,2,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,deepseek-chat,3,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,gemini-2.5-flash,1,not_reached,,,,,
