defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication,group,group_lastentry_rule,note,n_cases,n_valid,n_invalid,n_flaky,suite_reached_any,suite_reached_lastentry,suite_lines_any,suite_lines_lastentry,recorded_lines,reproduces_recorded,n_multi_entry_lines,n_valid_reaching,n_invalid_reaching,n_valid_reaching_lastentry,valid_reaching,invalid_reaching
CLIUtils___CLI11@020a21afc6,qwen3-coder,1,orig,O4,O4,yes,O4,A,A,,12,12,0,0,True,True,1166 1167 1168,1166 1167 1168,1166 1167 1168,True,0,12,0,12,ValidatorsTest.StripProgramNameEmptyString; ValidatorsTest.StripProgramNameLeadingSpaces; ValidatorsTest.StripProgramNameMultipleSpaces; ValidatorsTest.StripProgramNameNoArguments; ValidatorsTest.StripProgramNameNoPath; ValidatorsTest.StripProgramNameNormalCase; ValidatorsTest.StripProgramNameOnlySpaces; ValidatorsTest.StripProgramNameRelativePath; ValidatorsTest.StripProgramNameSingleChar; ValidatorsTest.StripProgramNameTrailingSpaces; ValidatorsTest.StripProgramNameWithQuotes; ValidatorsTest.StripProgramNameWithSpecialChars,
CLIUtils___CLI11@020a21afc6,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4,A,A,,17,11,6,0,True,True,1166 1167 1168 1169,1166 1167 1168 1169,1166 1167 1168 1169,True,0,11,6,11,SplitProgramNameTest.BoundarySingleCharacterProgram; SplitProgramNameTest.BoundarySingleCharacterProgramNoArguments; SplitProgramNameTest.EmptyCommandLineReturnsEmptyParts; SplitProgramNameTest.LeadingSpacesBeforeProgramNameAreIgnored; SplitProgramNameTest.MultipleSpacesBeforeArgumentsAreTrimmedFromRemainder; SplitProgramNameTest.OnlyProgramNameNoArguments; SplitProgramNameTest.OnlyWhitespaceReturnsEmptyParts; SplitProgramNameTest.ProgramNameAndMultipleArguments; SplitProgramNameTest.ProgramNameAndSingleArgument; SplitProgramNameTest.TabBetweenProgramAndArgumentsDoesNotSplitOnTab; SplitProgramNameTest.TrailingSpacesAfterProgramNameProduceEmptyRemainder,SplitProgramNameTest.QuotedProgramNameWithArguments; SplitProgramNameTest.QuotedProgramNameWithExtraSpacesBeforeArgumentsTrimsRemainder; SplitProgramNameTest.QuotedProgramNameWithoutArguments; SplitProgramNameTest.SingleQuoteProgramNameWithArguments; SplitProgramNameTest.SpaceThenTabsBeforeArgumentRemainAfterLeftTrimOfSpacesOnly; SplitProgramNameTest.UnterminatedQuoteTreatsRestAsProgramName
fmtlib___fmt@0cc73ebf79,qwen3-coder,1,orig,O4,O4,yes,O4,A,A,,13,7,6,0,True,True,1715 1717 1719,1715 1717 1719,1715 1717 1719,True,0,6,4,6,FmtCoreTest.GetIdDuplicateNames; FmtCoreTest.GetIdEmptyNamedArguments; FmtCoreTest.GetIdLongNames; FmtCoreTest.GetIdMultipleNamedArguments; FmtCoreTest.GetIdSingleCharacterNames; FmtCoreTest.GetIdWithNamedArguments,FmtCoreTest.GetIdMixedArguments; FmtCoreTest.GetIdNamedArgumentNotFound; FmtCoreTest.GetIdNestedFormatting; FmtCoreTest.GetIdSpecialCharacters
fmtlib___fmt@0cc73ebf79,qwen3-coder,2,orig,O4,O4,yes,O4,A,A,,13,7,6,0,True,True,1715 1717 1719,1715 1717 1719,1715 1717 1719,True,0,6,4,6,FmtCoreTest.GetIdEmptyNamedArguments; FmtCoreTest.GetIdEmptyStringNames; FmtCoreTest.GetIdLongNames; FmtCoreTest.GetIdMultipleNamedArguments; FmtCoreTest.GetIdRepeatedNames; FmtCoreTest.GetIdWithNamedArguments,FmtCoreTest.GetIdMixedPositionalAndNamed; FmtCoreTest.GetIdNamedArgumentNotFound; FmtCoreTest.GetIdNestedFormatting; FmtCoreTest.GetIdSpecialCharacters
fmtlib___fmt@0cc73ebf79,qwen3-coder,3,orig,O4,O4,yes,O4,A,A,,8,5,3,0,True,True,1715 1717 1719,1715 1717 1719,1715 1717 1719,True,0,4,3,4,FmtCoreTest.GetIdLargeArguments; FmtCoreTest.GetIdPerformance; FmtCoreTest.GetIdSpecialCharacters; FmtCoreTest.GetIdWithNamedArguments,FmtCoreTest.GetIdComplexScenarios; FmtCoreTest.GetIdEdgeCases; FmtCoreTest.GetIdStringViewCompatibility
fmtlib___fmt@279d698e1b,deepseek-chat,2,orig,O4,O4,yes,O4,A,A,,17,10,7,0,True,True,1620,1620,1620,True,0,1,0,1,FormatIntegerTest.CharTypes,
fmtlib___fmt@279d698e1b,deepseek-chat,3,orig,O4,O4,yes,O4,B,B,only invalid/flaky cases reach the patched region,17,9,8,0,True,True,1620,1620,1620,True,0,0,1,0,,FormatIntegerTest.CharType
fmtlib___fmt@287eaab3b2,deepseek-chat,1,orig,O2,O2,yes,O2,A,A,,18,15,3,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,7,1,7,WriteCharEdgeTest.CharBoundaryValues; WriteCharTest.BasicChar; WriteCharTest.SpecialChars; WriteWcharEdgeTest.WcharBoundaryValues; WriteWcharTest.BasicWchar; WriteWcharTest.SpecialWchars; WriteWcharTest.WcharInFormatString,WriteCharTest.CharInFormatString
fmtlib___fmt@287eaab3b2,deepseek-chat,2,orig,O2,O2,yes,O2,A,A,,15,12,3,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,8,0,8,WriteCharTest.BasicCharacters; WriteCharTest.InLargerString; WriteCharTest.NonPrintableCharacters; WriteCharTest.SpecialCharacters; WriteWcharTest.BasicWideCharacters; WriteWcharTest.InLargerWideString; WriteWcharTest.WideNonPrintableCharacters; WriteWcharTest.WideSpecialCharacters,
fmtlib___fmt@287eaab3b2,deepseek-chat,3,orig,O2,O2,yes,O2,A,A,,13,10,3,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,1,7,0,6,WriteBufferTest.MemoryBuffer; WriteCharTest.BasicChar; WriteCharTest.NonPrintableChars; WriteCharTest.SpecialChars; WriteEdgeCaseTest.SingleCharString; WriteWcharTest.BasicWchar; WriteWcharTest.SpecialWchars,
