defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication
CLIUtils___CLI11@020a21afc6,qwen3-coder,1,orig,O4,O4,yes,O4
fmtlib___fmt@0cc73ebf79,qwen3-coder,1,orig,O4,O4,yes,O4
fmtlib___fmt@0cc73ebf79,qwen3-coder,2,orig,O4,O4,yes,O4
fmtlib___fmt@0cc73ebf79,qwen3-coder,3,orig,O4,O4,yes,O4
fmtlib___fmt@279d698e1b,deepseek-chat,2,orig,O4,O4,yes,O4
fmtlib___fmt@279d698e1b,deepseek-chat,3,orig,O4,O4,yes,O4
fmtlib___fmt@287eaab3b2,deepseek-chat,1,orig,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,deepseek-chat,2,orig,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,deepseek-chat,3,orig,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,qwen3-coder,1,orig,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,qwen3-coder,2,orig,O2,O2,yes,O2
fmtlib___fmt@611cf0b3c6,qwen3-coder,3,orig,O4,O4,yes,O4
fmtlib___fmt@6a13464059,deepseek-chat,3,orig,O4,O4,yes,O4
fmtlib___fmt@6a13464059,qwen3-coder,1,orig,O4,O4,yes,O4
fmtlib___fmt@96c18b26c2,deepseek-chat,1,orig,O4,O3,NO,O4
fmtlib___fmt@96c18b26c2,deepseek-chat,2,orig,O4,O3,NO,O4
fmtlib___fmt@96c18b26c2,deepseek-chat,3,orig,O4,O3,NO,O4
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,1,orig,O4,O4,yes,O4
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,3,orig,O4,O4,yes,O4
fmtlib___fmt@96c18b26c2,qwen3-coder,1,orig,O4,O4,yes,O4
fmtlib___fmt@96c18b26c2,qwen3-coder,2,orig,O4,O4,yes,O4
fmtlib___fmt@96c18b26c2,qwen3-coder,3,orig,O4,O4,yes,O4
fmtlib___fmt@971fb584c3,qwen3-coder,1,orig,O4,O4,yes,O4
fmtlib___fmt@971fb584c3,qwen3-coder,2,orig,O4,O4,yes,O4
fmtlib___fmt@971fb584c3,qwen3-coder,3,orig,O4,O4,yes,O4
fmtlib___fmt@c04fb91b03,gemini-2.5-flash,3,orig,O2,O4,NO,O2
fmtlib___fmt@cd7202e039,deepseek-chat,1,orig,O4,O4,yes,O4
fmtlib___fmt@cd7202e039,deepseek-chat,2,orig,O4,O4,yes,O4
fmtlib___fmt@cd7202e039,deepseek-chat,3,orig,O4,O4,yes,O4
fmtlib___fmt@fc6e0fe992,deepseek-chat,3,orig,O2,O2,yes,O2
fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,3,orig,O2,O2,yes,O2
CLIUtils___CLI11@020a21afc6,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4
fmtlib___fmt@287eaab3b2,gpt-5.4-or,1,new_gpt5.4,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,gpt-5.4-or,2,new_gpt5.4,O2,O2,yes,O2
fmtlib___fmt@287eaab3b2,gpt-5.4-or,3,new_gpt5.4,O2,O2,yes,O2
fmtlib___fmt@6a13464059,gpt-5.4-or,2,new_gpt5.4,O4,O4,yes,O4
fmtlib___fmt@6a13464059,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4
fmtlib___fmt@971fb584c3,gpt-5.4-or,1,new_gpt5.4,O2,O4,NO,O4
fmtlib___fmt@971fb584c3,gpt-5.4-or,2,new_gpt5.4,O2,O4,NO,O4
fmtlib___fmt@cd7202e039,gpt-5.4-or,1,new_gpt5.4,O4,O4,yes,O4
fmtlib___fmt@cd7202e039,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,1,new_gpt5.4,O2,O2,yes,O2
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,2,new_gpt5.4,O2,O2,yes,O2
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,3,new_gpt5.4,O2,O2,yes,O2
