defect_id,project,condition,category,first_error
fmtlib___fmt@2b7a146fa1,fmtlib___fmt,fixed,Type mismatch / bad conversion / ambiguous overload,
fmtlib___fmt@2b7a146fa1,fmtlib___fmt,fixed,Template / overload deduction failure,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Other / uncategorized,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Type mismatch / bad conversion / ambiguous overload,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Malformed C++ syntax (template/generic syntax errors),expected primary-expression before ‘catch’
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,static_assert / unsatisfied trait (e.g. type not formattable),static assertion failed: Cannot format argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#formatting-us
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Other / uncategorized,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Other / uncategorized,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Template / overload deduction failure,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,static_assert / unsatisfied trait (e.g. type not formattable),static assertion failed: Cannot format argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#formatting-us
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,fixed,Template / overload deduction failure,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,buggy,Hallucinated/wrong API (member/function/overload does not exist),‘format_to_n’ is not a member of ‘fmt’
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,buggy,Template / overload deduction failure,
fmtlib___fmt@0cc73ebf79,fmtlib___fmt,buggy,static_assert / unsatisfied trait (e.g. type not formattable),static assertion failed: formatting of non-void pointers is disallowed
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,Template / overload deduction failure,
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,Other / uncategorized,
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,static_assert / unsatisfied trait (e.g. type not formattable),static assertion failed: hash function must be invocable with an argument of key type
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,Other / uncategorized,
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,Other / uncategorized,
skypjack___entt@ad5bb5198b,skypjack___entt,fixed,Type mismatch / bad conversion / ambiguous overload,invalid conversion from ‘const void*’ to ‘void*’ [-fpermissive]
