id,defect_id,model,run,label
1,CLIUtils___CLI11@020a21afc6,gpt-5.4-or,3,4
2,fmtlib___fmt@287eaab3b2,gpt-5.4-or,1,2
3,fmtlib___fmt@287eaab3b2,gpt-5.4-or,2,2
4,fmtlib___fmt@287eaab3b2,gpt-5.4-or,3,2
5,fmtlib___fmt@6a13464059,gpt-5.4-or,2,4
6,fmtlib___fmt@6a13464059,gpt-5.4-or,3,4
7,fmtlib___fmt@971fb584c3,gpt-5.4-or,1,4
8,fmtlib___fmt@971fb584c3,gpt-5.4-or,2,4
9,fmtlib___fmt@cd7202e039,gpt-5.4-or,1,4
10,fmtlib___fmt@cd7202e039,gpt-5.4-or,3,4
11,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,1,2
12,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,2,2
13,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,3,2
