id,defect_id,model,run_id,project,auto_code,auto_label,first_error
1,CLIUtils___CLI11@020a21afc6,qwen3-coder,2,CLIUtils___CLI11,10,Other / uncategorized,
2,CLIUtils___CLI11@020a21afc6,qwen3-coder,3,CLIUtils___CLI11,10,Other / uncategorized,
3,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,1,CLIUtils___CLI11,10,Other / uncategorized,
4,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,3,CLIUtils___CLI11,10,Other / uncategorized,
5,CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,3,CLIUtils___CLI11,10,Other / uncategorized,
6,CLIUtils___CLI11@dcbcb4721d,qwen3-coder,2,CLIUtils___CLI11,10,Other / uncategorized,
7,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,1,CLIUtils___CLI11,10,Other / uncategorized,
8,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,3,CLIUtils___CLI11,10,Other / uncategorized,
9,fmtlib___fmt@0cc73ebf79,deepseek-chat,1,fmtlib___fmt,10,Other / uncategorized,
10,fmtlib___fmt@0cc73ebf79,deepseek-chat,2,fmtlib___fmt,10,Other / uncategorized,
11,fmtlib___fmt@0cc73ebf79,deepseek-chat,3,fmtlib___fmt,10,Other / uncategorized,
12,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
13,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
14,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,3,fmtlib___fmt,10,Other / uncategorized,
15,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,1,fmtlib___fmt,10,Other / uncategorized,
16,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,2,fmtlib___fmt,10,Other / uncategorized,
17,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,3,fmtlib___fmt,10,Other / uncategorized,
18,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
19,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,3,fmtlib___fmt,10,Other / uncategorized,
20,fmtlib___fmt@2b7a146fa1,deepseek-chat,1,fmtlib___fmt,10,Other / uncategorized,
21,fmtlib___fmt@2b7a146fa1,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
22,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
23,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
24,fmtlib___fmt@6a13464059,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
25,fmtlib___fmt@6a13464059,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
26,fmtlib___fmt@6a13464059,gemini-2.5-flash,3,fmtlib___fmt,10,Other / uncategorized,
27,fmtlib___fmt@6a13464059,qwen3-coder,2,fmtlib___fmt,10,Other / uncategorized,
28,fmtlib___fmt@6a13464059,qwen3-coder,3,fmtlib___fmt,10,Other / uncategorized,
29,fmtlib___fmt@96c18b26c2,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
30,fmtlib___fmt@971fb584c3,deepseek-chat,1,fmtlib___fmt,10,Other / uncategorized,
31,fmtlib___fmt@971fb584c3,deepseek-chat,2,fmtlib___fmt,10,Other / uncategorized,
32,fmtlib___fmt@971fb584c3,deepseek-chat,3,fmtlib___fmt,10,Other / uncategorized,
33,fmtlib___fmt@971fb584c3,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
34,fmtlib___fmt@971fb584c3,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
35,fmtlib___fmt@971fb584c3,gemini-2.5-flash,3,fmtlib___fmt,10,Other / uncategorized,
36,fmtlib___fmt@971fb584c3,gpt-5.4-or,3,fmtlib___fmt,10,Other / uncategorized,
37,fmtlib___fmt@c04fb91b03,deepseek-chat,1,fmtlib___fmt,10,Other / uncategorized,
38,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
39,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
40,fmtlib___fmt@c04fb91b03,gpt-5.4-or,1,fmtlib___fmt,10,Other / uncategorized,
41,fmtlib___fmt@c04fb91b03,gpt-5.4-or,2,fmtlib___fmt,10,Other / uncategorized,
42,fmtlib___fmt@c04fb91b03,gpt-5.4-or,3,fmtlib___fmt,10,Other / uncategorized,
43,fmtlib___fmt@c04fb91b03,qwen3-coder,1,fmtlib___fmt,10,Other / uncategorized,
44,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
45,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,2,fmtlib___fmt,10,Other / uncategorized,
