id,defect_id,model,project,error,label,notes
1,fmtlib___fmt@2b7a146fa1,gemini-2.5-flash,fmtlib___fmt,":1305:29: note: no known conversion for argument 1 from ‘std::__cxx11::basic_string<char>::const_iterator’ to ‘std::monostate’ 1305 | constexpr bool operator!=(monostate, monostate) noexcept { return false; } | ^~~~~~~~~",,
2,fmtlib___fmt@2b7a146fa1,deepseek-chat,fmtlib___fmt," 1834 | FMT_INLINE std::basic_string<Char> format(const S& format_str, Args&&... args) { | ^~~~~~ /home/truclinh/Thesis/kse2026/fmt_spike/include/fmt/core.h:1834:36: note: template argument deduction/substitution failed:",,
3,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,fmtlib___fmt,"~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/gemini-2.5-flash/run1/test.cpp:276:5: note: in expansion of macro ‘EXPECT_EQ’ 276 | EXPECT_EQ(w_args.get_id(""wide_arg""), -1); | ^~~~~~~~~",,
4,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,fmtlib___fmt,"re.h:411:44: note: no known conversion for argument 1 from ‘const char* const’ to ‘fmt::v7::basic_string_view<wchar_t>’ 411 | friend bool operator==(basic_string_view lhs, basic_string_view rhs) { | ~~~~~~~~~~~~~~~~~~^~~",,
5,fmtlib___fmt@0cc73ebf79,gemini-2.5-flash,fmtlib___fmt,expected primary-expression before ‘catch’,,
6,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,fmtlib___fmt,static assertion failed: Cannot format argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#formatting-us,,
7,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,fmtlib___fmt,", val2) | ^~~~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/gpt-5.4-or/run3/test.cpp:140:3: note: in expansion of macro ‘EXPECT_EQ’ 140 | EXPECT_EQ(args.get_id(""""), -1); | ^~~~~~~~~",,
8,fmtlib___fmt@0cc73ebf79,gpt-5.4-or,fmtlib___fmt," val2) | ^~~~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/gpt-5.4-or/run2/test.cpp:98:3: note: in expansion of macro ‘EXPECT_EQ’ 98 | EXPECT_EQ(args.get_id(""xabc""), 2); | ^~~~~~~~~",,
9,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,"est.cpp:104:48: note: mismatched types ‘const Char*’ and ‘fmt::v7::basic_string_view<char>’ 104 | auto result = fmt::format(""{key}"", fmt::arg(fmt::string_view(name), ""value"")); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
10,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,static assertion failed: Cannot format argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#formatting-us,,
11,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,"pseek-chat/run2/test.cpp:81:49: note: mismatched types ‘const Char*’ and ‘std::__cxx11::basic_string<char>’ 81 | auto result = fmt::format(""{name}"", fmt::arg(long_name, ""long_value"")); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~",,
12,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,‘format_to_n’ is not a member of ‘fmt’,,
13,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,"nh/Thesis/kse2026/study/data/raw/fmtlib___fmt@0cc73ebf79/deepseek-chat/buggy/run3/test.cpp:127:17: note: mismatched types ‘const Char*’ and ‘std::basic_string_view<char>’ 127 | fmt::arg(name2, 200) | ~~~~~~~~^~~~~~~~~~~~",,
14,fmtlib___fmt@0cc73ebf79,deepseek-chat,fmtlib___fmt,static assertion failed: formatting of non-void pointers is disallowed,,
15,skypjack___entt@ad5bb5198b,gemini-2.5-flash,skypjack___entt,61:5: note: template argument deduction/substitution failed: /usr/include/c++/13/bits/stl_function.h:408:20: note: ‘const MyKey’ is not derived from ‘const std::tuple<_UTypes ...>’ 408 | { return __x < __y; } | ~~~~^~~~~,,
16,skypjack___entt@ad5bb5198b,gemini-2.5-flash,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
17,skypjack___entt@ad5bb5198b,gemini-2.5-flash,skypjack___entt,static assertion failed: hash function must be invocable with an argument of key type,,
18,skypjack___entt@ad5bb5198b,gpt-5.4-or,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
19,skypjack___entt@ad5bb5198b,gpt-5.4-or,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
20,skypjack___entt@ad5bb5198b,gpt-5.4-or,skypjack___entt,invalid conversion from ‘const void*’ to ‘void*’ [-fpermissive],,
21,skypjack___entt@ad5bb5198b,qwen3-coder,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
22,skypjack___entt@ad5bb5198b,qwen3-coder,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
23,skypjack___entt@ad5bb5198b,qwen3-coder,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
24,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,"‘const MetaAssociativeContainerTest_CustomKeyType_Test::TestBody()::CustomKey’ is not derived from ‘const std::pair<_T1, _T2>’ 813 | { return __x.first == __y.first && __x.second == __y.second; } | ~~~~~~~~~~^~~~~~~~~~~~",,
25,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
26,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,/include/c++/13/bits/stl_function.h:408:20: note: ‘const MetaAssociativeContainerTest_CustomKeyType_Test::TestBody()::CustomKey’ is not derived from ‘const std::tuple<_UTypes ...>’ 408 | { return __x < __y; } | ~~~~^~~~~,,
27,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
28,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
29,skypjack___entt@ad5bb5198b,deepseek-chat,skypjack___entt,"ociative_container::meta_iterator::meta_iterator(entt::meta_associative_container::meta_iterator&&)’ /home/truclinh/Thesis/kse2026/entt_spike/src/entt/meta/meta.hpp:1780:35: note: candidate expects 1 argument, 2 provided",,
30,fmtlib___fmt@6b7bfed40c,deepseek-chat,fmtlib___fmt,‘max_size’ is not a member of ‘std::allocator_traits<std::allocator<char> >’,,
