id,defect_id,model,project,focal_path,test_path,label,notes
1,fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run1/test.cpp,,
2,fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run3/test.cpp,,
3,fmtlib___fmt@0cc73ebf79,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@0cc73ebf79/qwen3-coder/run2/test.cpp,,
4,fmtlib___fmt@cd7202e039,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/gpt-5.4-or/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/gpt-5.4-or/run1/test.cpp,,
5,fmtlib___fmt@cd7202e039,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/gpt-5.4-or/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/gpt-5.4-or/run3/test.cpp,,
6,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run1/test.cpp,,
7,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run3/test.cpp,,
8,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/run2/test.cpp,,
9,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run1/test.cpp,,
10,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run3/test.cpp,,
